

=======================================================
TABLA RESUMEN DE RESULTADOS
=======================================================

Query ID   | Precision  | Recall     | AP         | Relevantes | Recuperados  | Coincidencias
33070      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
33096      | 0.0000      | 0.0000      | 0.0000      | 2          | 20           | 0           
33098      | 0.0000      | 0.0000      | 0.0000      | 4          | 20           | 0           
33204      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
33226      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
33289      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
33334      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
33402      | 0.0500      | 1.0000      | 0.0588      | 1          | 20           | 1           
33406      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
33449      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
33676      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
33968      | 0.0500      | 0.5000      | 0.5000      | 2          | 20           | 1           
34047      | 0.2500      | 1.0000      | 0.5738      | 5          | 20           | 5           
34472      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
34502      | 0.0500      | 1.0000      | 0.3333      | 1          | 20           | 1           
34512      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
34615      | 0.0500      | 1.0000      | 0.0769      | 1          | 20           | 1           
34848      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
34894      | 0.1000      | 1.0000      | 0.1625      | 2          | 20           | 2           
34981      | 0.0500      | 1.0000      | 0.3333      | 1          | 20           | 1           
34982      | 0.0500      | 1.0000      | 0.1667      | 1          | 20           | 1           
35024      | 0.0500      | 1.0000      | 0.5000      | 1          | 20           | 1           
35029      | 0.0500      | 1.0000      | 0.3333      | 1          | 20           | 1           
35042      | 0.0500      | 1.0000      | 0.2000      | 1          | 20           | 1           
35086      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
35112      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
35155      | 0.0500      | 1.0000      | 0.2500      | 1          | 20           | 1           
35211      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
35217      | 0.1000      | 0.4000      | 0.4000      | 5          | 20           | 2           
35219      | 0.1000      | 1.0000      | 0.2778      | 2          | 20           | 2           
35221      | 0.0500      | 1.0000      | 0.1667      | 1          | 20           | 1           
35297      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
35317      | 0.0500      | 1.0000      | 0.2500      | 1          | 20           | 1           
35348      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
35405      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
35437      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
35443      | 0.0500      | 0.5000      | 0.5000      | 2          | 20           | 1           
35453      | 0.0500      | 1.0000      | 0.2000      | 1          | 20           | 1           
35475      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
35494      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
35565      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
35641      | 0.0000      | 0.0000      | 0.0000      | 2          | 20           | 0           
35743      | 0.0500      | 1.0000      | 0.1667      | 1          | 20           | 1           
35752      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
35761      | 0.0500      | 1.0000      | 0.3333      | 1          | 20           | 1           
35800      | 0.0500      | 0.3333      | 0.0476      | 3          | 20           | 1           
35893      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
35921      | 0.0500      | 1.0000      | 0.1000      | 1          | 20           | 1           
36011      | 0.0000      | 0.0000      | 0.0000      | 3          | 20           | 0           
36028      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
36036      | 0.1500      | 1.0000      | 1.0000      | 3          | 20           | 3           
36037      | 0.0000      | 0.0000      | 0.0000      | 2          | 20           | 0           
36079      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
36146      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
36167      | 0.0500      | 0.5000      | 0.1250      | 2          | 20           | 1           
36198      | 0.0500      | 1.0000      | 1.0000      | 1          | 20           | 1           
36202      | 0.0000      | 0.0000      | 0.0000      | 1          | 20           | 0           
